"Ticket_ID,Date_Opened,Date_Closed,Resolution_Due_Date,Category,Assigned_To,Status"
"T001,2024-02-01,2024-02-05,2024-02-06,Hardware,John Doe,Closed"
"T002,2024-02-02,2024-02-07,2024-02-07,Software,Jane Smith,Closed"
"T003,2024-02-05,2024-02-06,2024-02-08,Network,Mike Johnson,Closed"
"T004,2024-02-06,,2024-02-09,Security,Sarah Brown,Open"
"T005,2024-02-07,2024-02-09,2024-02-12,Hardware,John Doe,Closed"
"T006,2024-02-08,2024-02-12,2024-02-13,Software,Jane Smith,Closed"
"T007,2024-02-09,2024-02-13,2024-02-14,Network,Mike Johnson,Closed"
"T008,2024-02-12,,2024-02-15,Security,Sarah Brown,Open"
"T009,2024-02-13,2024-02-14,2024-02-16,Hardware,John Doe,Closed"
"T010,2024-02-14,2024-02-16,2024-02-19,Software,Jane Smith,Closed"
"T011,2024-02-15,,2024-02-20,Network,Mike Johnson,Open"
"T012,2024-02-16,2024-02-19,2024-02-21,Security,Sarah Brown,Closed"
"T013,2024-02-19,2024-02-22,2024-02-22,Hardware,John Doe,Closed"
"T014,2024-02-20,,2024-02-23,Software,Jane Smith,Open"
"T015,2024-02-21,2024-02-22,2024-02-26,Network,Mike Johnson,Closed"
"T016,2024-02-22,2024-02-26,2024-02-27,Security,Sarah Brown,Closed"
"T017,2024-02-23,,2024-02-28,Hardware,John Doe,Open"
"T018,2024-02-26,2024-02-27,2024-02-29,Software,Jane Smith,Closed"
"T019,2024-02-27,2024-03-01,2024-03-01,Network,Mike Johnson,Closed"
"T020,2024-02-28,,2024-03-04,Security,Sarah Brown,Open"
"T021,2024-02-29,2024-03-04,2024-03-05,Hardware,John Doe,Closed"
"T022,2024-03-01,2024-03-06,2024-03-06,Software,Jane Smith,Closed"
"T023,2024-03-04,2024-03-05,2024-03-07,Network,Mike Johnson,Closed"
"T024,2024-03-05,,2024-03-08,Security,Sarah Brown,Open"
"T025,2024-03-06,2024-03-08,2024-03-11,Hardware,John Doe,Closed"
"T026,2024-03-07,2024-03-11,2024-03-12,Software,Jane Smith,Closed"
"T027,2024-03-08,2024-03-12,2024-03-13,Network,Mike Johnson,Closed"
"T028,2024-03-11,,2024-03-14,Security,Sarah Brown,Open"
"T029,2024-03-12,2024-03-13,2024-03-15,Hardware,John Doe,Closed"
"T030,2024-03-13,2024-03-15,2024-03-18,Software,Jane Smith,Closed"
"T031,2024-03-14,,2024-03-19,Network,Mike Johnson,Open"
"T032,2024-03-15,2024-03-18,2024-03-20,Security,Sarah Brown,Closed"
"T033,2024-03-18,2024-03-21,2024-03-21,Hardware,John Doe,Closed"
"T034,2024-03-19,,2024-03-22,Software,Jane Smith,Open"
"T035,2024-03-20,2024-03-21,2024-03-25,Network,Mike Johnson,Closed"
"T036,2024-03-21,2024-03-25,2024-03-26,Security,Sarah Brown,Closed"
"T037,2024-03-22,,2024-03-27,Hardware,John Doe,Open"
"T038,2024-03-25,2024-03-26,2024-03-28,Software,Jane Smith,Closed"
"T039,2024-03-26,2024-03-29,2024-03-29,Network,Mike Johnson,Closed"
"T040,2024-03-27,,2024-04-01,Security,Sarah Brown,Open"
"T041,2024-03-28,2024-04-01,2024-04-02,Hardware,John Doe,Closed"
"T042,2024-03-29,2024-04-03,2024-04-03,Software,Jane Smith,Closed"
"T043,2024-04-01,2024-04-02,2024-04-04,Network,Mike Johnson,Closed"
"T044,2024-04-02,,2024-04-05,Security,Sarah Brown,Open"
"T045,2024-04-03,2024-04-05,2024-04-08,Hardware,John Doe,Closed"
"T046,2024-04-04,2024-04-08,2024-04-09,Software,Jane Smith,Closed"
"T047,2024-04-05,2024-04-09,2024-04-10,Network,Mike Johnson,Closed"
"T048,2024-04-08,,2024-04-11,Security,Sarah Brown,Open"
"T049,2024-04-09,2024-04-10,2024-04-12,Hardware,John Doe,Closed"
"T050,2024-04-10,2024-04-12,2024-04-15,Software,Jane Smith,Closed"
"T051,2024-04-11,,2024-04-16,Network,Mike Johnson,Open"
"T052,2024-04-12,2024-04-15,2024-04-17,Security,Sarah Brown,Closed"
"T053,2024-04-15,2024-04-18,2024-04-18,Hardware,John Doe,Closed"
"T054,2024-04-16,,2024-04-19,Software,Jane Smith,Open"
"T055,2024-04-17,2024-04-18,2024-04-22,Network,Mike Johnson,Closed"
"T056,2024-04-18,2024-04-22,2024-04-23,Security,Sarah Brown,Closed"
"T057,2024-04-19,,2024-04-24,Hardware,John Doe,Open"
"T058,2024-04-22,2024-04-23,2024-04-25,Software,Jane Smith,Closed"
"T059,2024-04-23,2024-04-26,2024-04-26,Network,Mike Johnson,Closed"
"T060,2024-04-24,,2024-04-29,Security,Sarah Brown,Open"
"T061,2024-04-25,2024-04-29,2024-04-30,Hardware,John Doe,Closed"
"T062,2024-04-26,2024-05-01,2024-05-01,Software,Jane Smith,Closed"
"T063,2024-04-29,2024-04-30,2024-05-02,Network,Mike Johnson,Closed"
"T064,2024-04-30,,2024-05-03,Security,Sarah Brown,Open"
"T065,2024-05-01,2024-05-03,2024-05-06,Hardware,John Doe,Closed"
"T066,2024-05-02,2024-05-06,2024-05-07,Software,Jane Smith,Closed"
"T067,2024-05-03,2024-05-07,2024-05-08,Network,Mike Johnson,Closed"
